ID,Nama,Ketinggian,Provinsi,Wilayah,Deskripsi,Aktif (Aktif/Tidak Aktif),Level (Pemula/Mahir),Kota/Kab
100,Gunung Jumbri,639,Jawa Tengah,Jawa,"Gunung Jumbri memiliki ketinggian sekitar 638 mdpl. Gunung ini menyajikan hamparan pemandangan alam perbukitan di sekitar Ponorogo dan Wonogiri.

",Tidak Aktif,Pemula,Wonogiri
101,Gunung Kendalisodo,794,Jawa Tengah,Jawa,"Gunung Kendalisodo merupakan gunung yang terletak di Kecamatan Bawen, Kabupaten Semarang, Jawa Tengah.. Gunung ini memiliki ketinggian 794 mdpl.",Tidak Aktif,Pemula,Semarang
102,Gunung Kendeng,1918,Jawa Tengah,Jawa,"Gunung Kendeng adalah pegunungan kapur yang membentang di bagian utara Pulau Jawa. Pegunungan Kendeng mencakup dua provinsi yakni Provinsi Jawa Tengah dan Jawa Timur. Di Jawa Tengah mencangkup Kabupaten Semarang Timur, Kota Salatiga, Kabupaten Sragen Utara, Kabupaten Grobogan Selatan dan Kabupaten Blora Selatan.",Tidak Aktif,Pemula,Salatiga
103,Gunung Lanang,1105,Jawa Tengah,Jawa,"Gunung Lanang merupakan sebuah gunung yang terdapat di Provinsi Jawa Tengah. Gunung Lanang merupakan titik tertinggi di jajaran Pegunungan Serayu Selatan. Gunung Lanang secara administrasi berada di Kabupaten Wonosobo tepatnya di perbatasan Desa Mergolangu, Kecamatan Kalibawang dengan Desa Gumelar, Kecamatan Wadaslintang. Gunung Lawang ini mempunyai ketinggian setinggi 1.105 meter diatas permukaan air laut Mdpl dengan ketinggian relative 1.010 Mdpl. Gunung Lanang merupakan puncak dari sebuah dataran tinggi yang tak terlalu luas di perbatasan Kabupaten Wonosobo dengan Kabupaten Purworejo.",Tidak Aktif,Pemula,Wonosobo
104,Gunung Langit,1625,Jawa Tengah,Jawa,"Gunung Langit terletak di Kecamatan Kalibening, Kabupaten Banjarnegara, Jawa Tengah. Gunung ini memiliki ketinggian 1.625 mdpl.",Tidak Aktif,Pemula,Banjarnegara
105,Gunung Lasem,806,Jawa Tengah,Jawa,"Gunung Lasem merupakan sebuah gunung yang terdapat di bagian tengah Kabupaten Rembang membujur mulai dari pegunungan Kapur Utara di bagian selatan hingga ke pesisir pantai utara. Gunung dengan ketinggian 806 meter dpl ini sebagian besar berada di wilayah kecamatan Lasem Kabupaten Rembang Jawa Tengah. Dan meliputi beberapa kecamatan seperti Sluke, Kragan, Sedan, Pamotan dan Pancur.",Tidak Aktif,Pemula,Rembang
106,Gunung Lemahlaki,858,Jawa Tengah,Jawa,"Gunung Lemahlaki terletak di Kabupaten Brebes, Jawa Timur. Gunung ini memiliki ketinggisn 858 mdpl.",Tidak Aktif,Pemula,Brebes
107,Gunung Lumping,1327,Jawa Tengah,Jawa,"Gunung Lumping terletak di Pekalongan, Jawa Tengah. Gunung ini memiliki ketinggian di 1.327 mdpl.",Tidak Aktif,Pemula,Pekalongan
108,Gunung Merbabu,3145,Jawa Tengah,Jawa,"Gunung Merbabu adalah gunung api yang bertipe Strato (lihat Gunung Berapi) yang terletak secara geografis pada 7,5° LS dan 110,4° BT. Secara administratif gunung ini berada di wilayah Kabupaten Magelang di lereng sebelah barat dan Kabupaten Boyolali di lereng sebelah timur dan selatan, Kabupaten Semarang di lereng sebelah utara, Provinsi Jawa Tengah.",Aktif,Mahir,Magelang
109,Gunung Midangan,1043,Jawa Tengah,Jawa,"Gunung Midangan merupakan sebuah gunung yang terdapat di Provinsi Jawa Tengah. Gunung Midangan merupakan salah satu titik tertinggi jajaran Pegunungan Serayu Selatan. Gunung Midangan secara administrasi berada di perbatasan Kabupaten Banjarnegara, Kabupaten Wonosobo dan Kabupaten Kebumen. Gunung Midangan ini mempunyai ketinggian setinggi 1.043 meter di atas permukaan air laut Mdpl dengan ketinggian relative 996 Mdpl. Sungai yang berhulu di Gunung Midangan diantaranya Sungai Loning, Sungai Maetan, Sungai Nyangku, Sungai Gemawang, dan Sungai Kalen.",Tidak Aktif,Pemula,Banjarnegara
110,Gunung Muria,1602,Jawa Tengah,Jawa,"Gunung Muria adalah sebuah gunung bertipe stratovolcano yang terletak di pantai utara Jawa Tengah, sekitar 66 kilometer di timur laut Kota Semarang. Gunung ini termasuk ke dalam wilayah Kabupaten Jepara di sisi barat, wilayah Kabupaten Kudus di sisi selatan, dan wilayah Kabupaten Pati di sisi timur dan tenggara. Gunung ini memiliki ketinggian setinggi 1602 mdpl, tetapi sumber lain menyebutkan bahwa tingginya 1625 mdpl.",Tidak Aktif,Pemula,Jepara
111,Gunung Prau,2565,Jawa Tengah,Jawa,"Gunung Parahu (Prau) adalah salah satu gunung di Dataran Tinggi Dieng, Jawa Tengah, Indonesia. Gunung Parahu memiliki ketinggian 2.590 mdpl dan terletak pada koordinat 7°11?13?S 109°55?22?E. Gunung ini merupakan tapal batas antara empat kabupaten yaitu Kabupaten Batang, Kabupaten Kendal, Kabupaten Temanggung dan Kabupaten Wonosobo.",Tidak Aktif,Pemula," Batang, Kendal,  Temanggung, Wonosobo"
112,Gunung Sigepak,855,Jawa Tengah,Jawa,"Gunung Sigepak adalah sebuah gunung yang berada di Jawa Tengah. Gunung Sigepak merupakan salah satu puncak tertinggi di rangkaian Pegunungan Menoreh. Gunung Sigepak ini dekat dengan perbatasan Provinsi Jawa Tengah dengan Provinsi Daerah Istimewa Yogyakarta tepatnya terletak di Desa Donorejo, Kecamatan Kaligesing, Kabupaten Purworejo, Jawa Tengah. Gunung Sigepak memiliki ketinggian 855 meter di atas permukaan air laut Mdpl. Sejumlah puncak lainnya adalah Puncak Gasian (820 Mdpl), dan Puncak Tumpeng (810 Mdpl). Sungai yang berhulu dari Gunung Sigepak diantaranya Sungai Siklothok, Sungai, Sumberejo, Sungai Secang dan Sungai Ngemnan.",Tidak Aktif,Mahir,Purworejo
113,Gunung Sindoro,3150,Jawa Tengah,Jawa,"Gunung Sindoro, biasa disebut Sindara, atau juga Sundoro merupakan sebuah gunung volkano aktif yang terletak di Jawa Tengah, Indonesia, dengan Temanggung sebagai kota terdekat. Gunung Sindoro terletak berdampingan dengan Gunung Sumbing. Gunung sindara dapat terlihat jelas dari puncak sikunir dieng",Aktif,Pemula,Temanggung
114,Gunung Sipandu,2241,Jawa Tengah,Jawa,"Gunung Sipandu adalah sebuah gunung kecil yang terdapat di Jawa Tengah. Gunung ini berada di dataran tinggi Dieng dan berada di perbatasan Kabupaten Batang dengan Kabupaten Banjarnegara, Jawa Tengah. Gunung Sipandu merupakan salah satu puncak di Dataran Tinggi Dieng yang berada di dekat Gunung Prahu.",Tidak Aktif,Pemula,"Batang, Banjarnegara"
115,Gunung Slamet,3432,Jawa Tengah,Jawa,"Gunung Slamet adalah sebuah gunung berapi kerucut tipe A yang berada di Jawa Tengah, Indonesia. Gunung Slamet memiliki ketinggian 3.432 mdpldan terletak di antara 5 kabupaten, yaitu Kabupaten Banyumas, Kabupaten Purbalingga, Kabupaten Brebes, Kabupaten Tegal dan Kabupaten Pemalang. Gunung Slamet merupakan gunung tertinggi di Jawa Tengah dan merupakan gunung tertinggi kedua di pulau Jawa, setelah gunung Semeru. Kawah IV merupakan kawah terakhir yang masih aktif sampai sekarang, dan terakhir aktif hingga pada level siaga medio-2009.",Aktif,Pemula,"Banyumas, Purbalingga, Brebes, Tegal, Pemalang"
116,Gunung Sumbing,3336,Jawa Tengah,Jawa,"Gunung Sumbing adalah gunung api yang terdapat di Jawa Tengah, Indonesia. (Ketinggian puncak 3.371 mdpl), gunung Sumbing merupakan gunung tertinggi ketiga di Pulau Jawa setelah Gunung Semeru dan Gunung Slamet. Gunung ini secara administratif terletak di tiga wilayah kabupaten, yaitu Kabupaten Magelang; Kabupaten Temanggung; dan Kabupaten Wonosobo. Bersama dengan Gunung Sindoro, Gunung Sumbing membentuk bentang alam gunung kembar, seperti Gunung Merapi dan Gunung Merbabu, apabila dilihat dari arah Temanggung. Celah antara gunung ini dan Gunung Sindoro dilalui oleh jalan provinsi yang menghubungkan kota Temanggung dan kota Wonosobo. Jalan ini biasa dijuluki sebagai ""Kledung Pass"".",Aktif,Pemula,"Magelang, Temanggung, Wonosobo"
117,Gunung Telomoyo,1894,Jawa Tengah,Jawa,"Gunung Telomoyo adalah gunung yang terletak di wilayah Kabupaten Semarang dan Kabupaten Magelang, Jawa Tengah. Gunung ini memiliki ketinggian 1.894 m dpl dan merupakan gunung api yang berbentuk strato (kerucut) tetapi belum pernah tercatat meletus. Ia terlihat dari kota-kota sekitarnya, seperti Salatiga, Ambarawa, dan Secang, Magelang.",Tidak Aktif,Pemula,"Semarang, Magelang"
118,Gunung Tidar,503,Jawa Tengah,Jawa,"Gunung Tidar adalah gunung yang berada di tengah-tengah Kota Magelang, Jawa Tengah. Gunung ini tidak dapat dipisahkan dengan pendidikan militer karena banyaknya kegiatan Akademi Militer (Akmil) yang dilakukan di situ. Gunung yang dalam legenda dikenal sebagai ""Pakunya Tanah Jawa"" ini terletak di tengah Kota Magelang. Berada pada ketinggian 503 meter dari permukaan laut, Gunung Tidar memiliki sejarah dalam perjuangan bangsa. Di Lembah Tidar itulah Akademi Militer sebagai kawah candradimuka yang mencetak perwira pejuang Sapta Marga berdiri pada 11 November 1957.",Tidak Aktif,Pemula,Magelang
119,Gunung Ungaran,2050,Jawa Tengah,Jawa,"Gunung Ungaran adalah gunung berapi bertipe Stratovolcano yang terletak di Ungaran, Kabupaten Semarang, Jawa Tengah dan memiliki ketinggian 2.050 meter. Walaupun tidak ada catatan khusus mengenai aktivitas vulkanologi di gunung ini, tetapi terdapat sumber mata air panas di kaki gunungnya yang mengindikasikan adanya aktivitas panas bumi di bawah tanah. Lokasi sumber mata air panas tersebut terdapat di Candi Gedong Songo dan Gonoharjo, Limbangan, Kendal.",Aktif,Pemula,Semarang
120,Gunung Wagir Jampang,803,Jawa Tengah,Jawa,"Gunung Wagir Jampang atau Gunung Jampang merupakan sebuah gunung yang terdapat di Provinsi Jawa Tengah. Gunung Wagir Jampang merupakan salah satu titik tertinggi di jajaran Pegunungan Serayu Selatan. Gunung Wagir Jampang secara administrasi berada di perbatasan tiga kabupaten yakni Kabupaten Banyumas, Kabupaten Banjarnegara dan sebagian kecil masuk Kabupaten Kebumen. Di Kabupaten Banyumas mencangkup Kecamatan Tambak, Kecamatan Sumpiuh, dan Kecamatan Somagede. Sedangkan di Kabupaten Banjarnegara mencangkup Kecamatan Susukan. Gunung Wagir Jampang memiliki ketinggian 803 meter diatas permukaan air laut (Mdpl). ",Tidak Aktif,Mahir,"Banyumas, Banjarngera, Kebumen"
121,Gunung Lawu,3245,"Jawa Tengah, Jawa Timur",Jawa,"Gunung Lawu terletak di Pulau Jawa, Indonesia, tepatnya di perbatasan Provinsi Jawa Tengah dan Jawa Timur. Gunung Lawu terletak di antara tiga kabupaten yaitu Kabupaten Karanganyar, Jawa Tengah, Kabupaten Ngawi, dan Kabupaten Magetan, Jawa Timur. Status gunung ini adalah gunung api ""istirahat"" (diperkirakan terakhir meletus pada tanggal 28 November 1885) dan telah lama tidak aktif, terlihat dari rapatnya vegetasi serta puncaknya yang tererosi. Studi pada 2019 tentang geothermal heat flow mensugestikan bahwa Gunung Lawu masih aktif sampai sekarang.",Aktif,Mahir,Karanganyar
122,Gunung Jokolangan,2312,"Jawa Tengah, Jawa Timur",Jawa,"Gunung Jokolangan terletak di Wonorejo, Jatiyoso, Kabupaten Karanganyar. Gunung ini memiliki ketinggian 2.312 mdpl.",Tidak Aktif,Pemula,Karanganyar
123,Gunung Merapi,2911,"Jawa Tengah, Yogyakarta",Jawa,"Gunung Merapi adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara. Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapi sejak tahun 2004.",Aktif,Pemula,Sleman
124,Gunung Anjasmoro,2277,Jawa Timur,Jawa,"Gunung Anjasmoro merupakan pegunungan yang terdapat di pulau Jawa, Indonesia. Ada lebih dari 40 puncak dan puncak tertinggi pada 2.282 meter. Gunung Anjasmoro termasuk ke dalam wilayah Kabupaten Jombang, Kabupaten Mojokerto, Kabupaten Kediri, Kabupaten Malang, dan Kota Batu, Jawa Timur. Gunung Anjasmoro terletak satu kluster dengan Gunung Argowayang dan terletak berdekatan dengan Gunung Arjuno-Welirang.",Aktif,Pemula,Jombang
125,Gunung Argapura,3088,Jawa Timur,Jawa,"Gunung Argapura adalah sebuah gunung berapi kompleks yang terdapat di Jawa Timur, Indonesia. Gunung Argapura mempunyai ketinggian setinggi 3.088 meter. Gunung Argapura merupakan bekas gunung berapi yang kini sudah tidak aktif lagi.",Tidak Aktif,Mahir,Probolinggo
126,Gunung Argowayang,2162,Jawa Timur,Jawa,Gunung Argowayang adalah sebuah gunung yang terletak di Provinsi Jawa Timur. Gunung ini termasuk ke dalam wilayah dua kabupaten yaitu Kabupaten Jombang dan Kabupaten Malang. Letak gunung Argowayang satu kluster dengan Gunung Anjasmoro dan berdekatan dengan Gunung Arjuno-Welirang.,Tidak Aktif,Pemula,Jombang
127,Gunung Arjuno,3339,Jawa Timur,Jawa,"Gunung Arjuno (terkadang dieja Gunung Arjuna) adalah sebuah gunung berapi kerucut (istirahat) di Jawa Timur, Indonesia dengan ketinggian 3.339 m dpl. Gunung Arjuno secara administratif terletak di perbatasan Kota Batu, Kabupaten Malang, dan Kabupaten Pasuruan dan berada di bawah pengelolaan Taman Hutan Raya Raden Soerjo. Gunung Arjuno merupakan gunung tertinggi kedua di Jawa Timur setelah Gunung Semeru, serta menjadi yang tertinggi keempat di Pulau Jawa. Biasanya gunung ini dicapai dari tiga titik pendakian yang cukup dikenal yaitu dari Lawang, Tretes dan Batu. Nama Arjuno berasal dari salah satu tokoh pewayangan Mahabharata, Arjuna.",Aktif,Mahir,Batu
128,Gunung Baluran,1247,Jawa Timur,Jawa,"Gunung Baluran adalah sebuah gunung di Jawa Timur, Indonesia. Gunung Baluran berketinggian 1.247 meter di atas permukaan laut. Gunung ini secara administratif termasuk dalam wilayah Kabupaten Situbondo. Gunung Baluran memiliki beberapa puncak lainnya seperti Puncak Aleng, Kacip dan Klosot. Gunung ini merupakan gunung paling timur di Pulau Jawa dan berada di dalam kawasan Taman Nasional Baluran.",Tidak Aktif,Pemula,Situbondo
129,Gunung Berungkal,1040,Jawa Timur,Jawa,"Gunung Berungkal adalah sebuah gunung yang berada di Provinsi Jawa Timur. Gunung Berungkal masih merupakan bagian dari rangkaian zona Pegunungan Selatan Jawa. Secara Administrasi, Gunung Berungkal terletak di Desa Sumberurip, Kecamatan Pronojiwo, Kabupaten Lumajang, Provinsi Jawa Timur. Gunung Berungkal memiliki ketinggian 1.040 meter di atas permukaan air laut Mdpl. Gunung lainnya disekitar Gunung Berungkal diantaranya Gunung Kukusan (1.010 Mdpl), Gunung Ketuk dan Gunung Kajangkasa (794 Mdpl). Tak jauh dari Gunung Berungkal terdapat Gunung Mesigit (965 Mdpl). Sungai yang berhulu dari Gunung Berungkal diantaranya Sungai Ngrawan, Sungai Kukusan dan Sungai Sumberlangse.",Tidak Aktif,Pemula,Lumajang
130,Gunung Batok,2440,Jawa Timur,Jawa,"Gunung Batok adalah sebuah gunung yang terletak di Jawa Timur, Indonesia. Gunung ini memiliki ketinggian 2.440 meter di atas permukaan laut dan berada di Kecamatan Tosari - Kabupaten Pasuruan, yang merupakan batas tenggara Pasuruan. Letak Gunung Batok berdekatan dengan Gunung Bromo dan Gunung Semeru. Gunung ini merupakan salah satu gunung mati atau tidak aktif yang terletak di kawasan pegunungan Tengger. Gunung Batok termasuk dalam kawasan Taman Nasional Bromo Tengger Semeru.",Tidak Aktif,Pemula,Pasuruan
131,Gunung Betiri,1215,Jawa Timur,Jawa,"Gunung Betiri adalah sebuah gunung yang berada di Provinsi Jawa Timur. Gunung Betiri merupakan salah satu puncak tertinggi di kawasan Taman Nasional Meru Betiri. Gunung Betiri masih merupakan bagian dari rangkaian zona Pegunungan Selatan Jawa. Secara Administrasi, Gunung Betiri terletak di perbatasan dua kabupaten yakni Kabupaten Jember dan Kabupaten Banyuwangi. Di Kabupaten Banyuwangi gunung ini mencangkup Desa Sarongan, Kecamatan Pesanggrahan, Kabupaten Banyuwangi. Sedangkan di Kabupaten Jember meliputi Desa Andongrejo, Kecamatan Tempurejo, Kabupaten Jember. Gunung Betiri memiliki ketinggian 1.233 meter di atas permukaan air laut Mdpl dengan ketinggian relative 1.215 Mdpl. Sejumlah Gunung disekitarnya adalah Gunung Betiri I (1.160 Mdpl), Gunung Betiri II (1.020 Mdpl) dan Gunung Butak (960 Mdpl). Sungai yang berhulu dari Gunung Betiri diantaranya Sungai Sanen, dan Sungai Sukamande.",Tidak Aktif,Pemula,Jember
132,Gunung Biser,1359,Jawa Timur,Jawa,"Gunung Biser adalah sebuah gunung yang berada di Provinsi Jawa Timur. Secara Administrasi, Gunung Biser terletak di perbukitan yang membatasai Kabupaten Bondowoso dengan Kabupaten Situbondo. Tepatnya di Desa Kretek, Kecamatan Taman Krocok, Kabupaten Bondowoso, Provinsi Jawa Timur. Gunung Biser memiliki ketinggian 1.359 meter di atas permukaan air laut Mdpl namun ketinggian relativnya sekitar 1.280 Mdpl. Gunung lainnya disekitarnya antara lain Gunung Asta (1.208 Mdpl), Gunung Pringin (1.240 Mdpl), Gunung Alassereh (964 Mdpl) dan Gunung Bandusa (1.151 Mdpl). Sungai yang berhulu dari Gunung Biser diantaranya Sungai Bangeran, Sungai Curahtemu, Sungai Kalompret, Sungai Lawu, Sungai Jaa, Sungai Kretek, dan Sungai Kemuningan.",Tidak Aktif,Pemula,Bondowoso
133,Gunung Boklorobubuh,2230,Jawa Timur,Jawa,"Gunung Boklorobubuh adalah sebuah gunung yang berada di Kabupaten Mojokerto, Provinsi Jawa Timur. Gunung Boklorobubuh mencangkup Kecamatan Jatirejo dan Kecamatan Gondang, Kabupaten Mojokerto di wilayah Provinsi Jawa Timur. Gunung Boklorobubuh merupakan salah satu puncak di Pegunungan Anjasmoro. Gunung Boklorobubuh memiliki ketinggian 2.230 meter di atas permukaan air laut Mdpl. Puncak lainnya di sekitar Gunung Boklorobubuh diantaranya Puncak Semar dan Puncak Kukusan. Sungai yang berhulu dari Gunung Boklorobubuh diantaranya Sungai Geruh, Sungai Klera, Sungai Jembul dan Sungai Jatirejo.",Tidak Aktif,Pemula,Mojokerto
134,Gunung Bromo,2392,Jawa Timur,Jawa,"Gunung Bromo atau dalam bahasa Tengger dieja ""Brama"", juga disebut Kaldera Tengger, adalah sebuah gunung berapi aktif di Jawa Timur, Indonesia. Gunung ini memiliki ketinggian 2.329 meter di atas permukaan laut dan berada dalam empat wilayah kabupaten, yakni Kabupaten Probolinggo, Kabupaten Pasuruan, Kabupaten Lumajang, dan Kabupaten Malang. Gunung Bromo terkenal sebagai objek wisata utama di Jawa Timur. Sebagai sebuah objek wisata, Bromo menjadi menarik karena statusnya sebagai gunung berapi yang masih aktif. Gunung Bromo termasuk dalam kawasan Taman Nasional Bromo Tengger Semeru.",Aktif,Pemula,Malang
135,Gunung Butak,2868,Jawa Timur,Jawa,"Gunung Butak adalah gunung stratovolcano yang terletak di perbatasan Kabupaten Malang dan Kabupaten Blitar, Jawa Timur, Indonesia. Gunung Butak terletak berdekatan dengan Gunung Kawi. Tidak diketemukan catatan sejarah atas erupsi dari Gunung Butak sampai saat ini. Gunung ini berada pada posisi -7,922566? dan 112,451688? dengan ketinggial 2.868 mdpl(9,409 ft).",Tidak Aktif,Pemula,Blitar
136,Gunung Dorowati,1586,Jawa Timur,Jawa,"Gunung Dorowati adalah sebuah gunung tidak aktif yang berada di Kecamatan Pujon, Kabupaten Malang, Provinsi Jawa Timur. Gunung ini terletak diantara tiga gunung besar yaitu Gunung Kelud, Gunung Kawi dan Gunung Argowayang. Gunung Dorowati memiliki ketinggian 1.586 meter di atas permukaan air laut Mdpl dengan beberapa puncak lain disekitarnya seperti Puncak Kukusan dan Puncak Parangklakan. Sungai-sungai yang berhulu dari gunung ini diantaranya adalah Kali Kuwayangan dan Kali Candi. Gunung ini cukup mudah didaki karena hanya membutuhkan waktu sekira 2 jam dari Dusun Lebaksari, Desa Ngabab. Pemandangan dari puncaknya sangat menawan selain bisa melihat Gunung Kelud, Gunung Kawi, Pegunungan Argowayang-Anjamoro hingga Pegunungan Welirang-Arjuno juga dapat melihat Waduk Selorejo dari ketinggian.",Tidak Aktif,Pemula,Malang
137,Gunung Gajah Sambit,1010,Jawa Timur,Jawa,Gunung Gajah merupakan gunung yang terletak di Kecamatan Sambit dengan ketinggian sekitar 1200 mdpl.,Tidak Aktif,Pemula,Sambit
138,Gunung Gambiran,1080,Jawa Timur,Jawa,"Gunung Gambiran adalah sebuah gunung yang terletak di Jawa Timur, Indonesia. Gunung ini memiliki ketinggian 1.080 mdpl.",Tidak Aktif,Pemula,Jember
139,Gunung Gembes,1105,Jawa Timur,Jawa,"Gunung Gembes merupakan gunung yang terletak di Kabupaten Pacita, Jawa Timur. Gunung ini memiliki ketinggian 1.105 mdpl.",Tidak Aktif,Pemula,Pacitan
140,Gunung Ijen,2443,Jawa Timur,Jawa,"Gunung Ijen adalah sebuah gunung berapi yang terletak di perbatasan Kabupaten Banyuwangi dan Kabupaten Bondowoso, Jawa Timur, Indonesia. Gunung ini memiliki ketinggian 2.386 mdpl dan terletak berdampingan dengan Gunung Merapi. Gunung Ijen terakhir meletus pada tahun 1999. Salah satu fenomena alam yang paling terkenal dari Gunung Ijen adalah blue fire (api biru) di dalam kawah yang terletak di puncak gunung tersebut. Pendakian gunung ini bisa dimulai dari dua tempat, yakni dari Banyuwangi atau dari Bondowoso.",Aktif,Pemula,Banyuwangi
141,Gunung Ider-ider,2527,Jawa Timur,Jawa,"Gunung ider-ider merupakan gunung yang terletak di Kabupaten Probolinggo, Jawa Timur, Gunung ini memiliki ketinggian 2.527 mdpl",Tidak Aktif,Pemula,Probolinggo
142,Gunung Jambangan,2492,Jawa Timur,Jawa,"Gunung Jambangan terletak di Desa Sungai Pasir, Kecamatan Pulau Laut Tengah, Kotabaru. Gunung yang menjadi ikon Kabupaten Kotabaru ini, merupakan kawasan hutan lindung. Sayangnya, areal sekitar kaki Gunung Jambangan ini masuk dalam konsesi izin usaha pertambangan batu bara.
",Tidak Aktif,Pemula,Kota Baru
143,Gunung Jenggeran,865,Jawa Timur,Jawa,"Gunung Jenggeran terletak di Malang, Jawa Timur, Indonesia. Gunung ini memiliki ketinggian 865 mdpl.",Tidak Aktif,Pemula,Malang
144,Gunung Kawi,2651,Jawa Timur,Jawa,"Gunung Kawi adalah sebuah gunung berapi yang sudah lama tidak aktif, berada sebelah barat daya di Kabupaten Malang, berbatasan langsung dengan Kabupaten Blitar Jawa Timur, Indonesia, Tidak ada catatan sejarah mengenai letusan gunung berapi ini. Gunung ini cukup dikenal karena adanya tempat ziarah Pesarean Gunung Kawi.",Tidak Aktif,Pemula,Blitar
145,Gunung Kelud,1350,Jawa Timur,Jawa,"Gunung Kelud adalah sebuah gunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong aktif. Gunung ini berada di perbatasan antara Kabupaten Kediri, Kabupaten Blitar, dan Kabupaten Malang, kira-kira 35 km sebelah timur pusat Kota Kediri dan 25 km sebelah utara pusat Kota Blitar",Aktif,Pemula,Kediri
146,Gunung Kembar I,3052,Jawa Timur,Jawa,"Gunung Kembar I merupakan sebuah gunung yang terdapat di pulau Jawa, Indonesia. Gunung Kembar I mempunyai ketinggian setinggi 3.058 meter. Gunung Kembar I mempunyai kawasan hutan Dipterokarp Bukit, hutan Dipterokarp Atas, hutan Montane, dan Hutan Ericaceous atau hutan gunung. Gunung ini termasuk dalam kawasan Taman Hutan Raya Raden Soerjo dan terletak pada punggungan yang sama dengan Gunung Kembar II, Gunung Arjuno, dan Gunung Welirang.",Tidak Aktif,Mahir,Malang
147,Gunung Kembar II,3126,Jawa Timur,Jawa,"Gunung Kembar II merupakan sebuah gunung yang terdapat di pulau Jawa, Indonesia. Gunung Kembar II mempunyai ketinggian setinggi 3.126 meter. Pada puncak gunung ini juga terdapat area fumarol. Gunung Kembar II mempunyai kawasan hutan Dipterokarp Bukit, hutan Dipterokarp Atas, hutan Montane, dan Hutan Ericaceous atau hutan gunung. Gunung ini termasuk dalam kawasan Taman Hutan Raya Raden Soerjo dan terletak pada punggungan yang sama dengan Gunung Kembar I, Gunung Arjuno, dan Gunung Welirang.",Tidak Aktif,Mahir,Malang
148,Gunung Kepolo,3035,Jawa Timur,Jawa,"Gunung Kepolo memiliki ketinggian 3095 mdpl dan termasuk dalam kawasan Taman Nasional Bromo Tengger Semeru. Kawasan hutan Cemoro Kandang, yang banyak ditumbuhi tumbuhan Cemara dan Paku-Pakuan masuk ke dalam gugusan hutan di gunung Kepolo.",Tidak Aktif,Mahir,Malang
149,Gunung Kumbang,1211,Jawa Timur,Jawa,"Gunung Kumbang merupakan sebuah gunung yang terdapat di Provinsi Jawa Tengah. Gunung Kumbang merupakan salah satu titik tertinggi di jajaran Pegunungan Pojoktiga-Lio. Gunung Kumbang secara administrasi berada di perbatasan Kecamatan Ketanggungan dengan Kecamatan Salem di Kabupaten Brebes. Gunung Kumbang ini mempunyai ketinggian 1.211 meter di atas permukaan air laut Mdpl. Di sekitarnya terdapat puncak lainnya seperti Puncak Sagara (1.109 Mdpl), Puncak Jojoktelu (1.129 Mdpl) dan Puncak Payung (845 Mdpl). Sungai yang berhulu di gunung ini antara lain Sungai Cibentar, Sungai Cikumbang, Sungai Cibatu, Sungai Cikamuning, Sungai Cirambeng dan Sungai Ciseureuh.",Tidak Aktif,Pemula,Brebes
150,Gunung Krincing,2751,Jawa Timur,Jawa,"Gunung Krincing terletak di daerah Jember, Jawa Timur. Gunung ini memiliki ketinggian 2.751 mdpl.",Tidak Aktif,Pemula,Jember
151,Gunung Lembayungan,1029,Jawa Timur,Jawa,"Gunung Lembayungan adalah sebuah gunung di Jawa Timur yang memiliki ketinggian 1.029 meter. Gunung Lembaungan terletak di dekat Kali Pucang, dan timur laut Kali Sengon.",Tidak Aktif,Pemula,Ponorogo
152,Gunung Lemongan,1651,Jawa Timur,Jawa,"Gunung Lemongan adalah sebuah gunung berapi tipe maar, di Jawa Timur. Gunung ini merupakan bagian dari kelompok Pegunungan Iyang. Puncaknya adalah Tarub (1.651 m). Gunung Lemongan termasuk dalam wilayah dua kabupaten, yaitu Lumajang dan Probolinggo.",Aktif,Pemula,Lumajang
153,Gunung Liman,2563,Jawa Timur,Jawa,"Gunung Liman (terkadang dieja Gunung Ngliman) adalah sebuah gunung berapi (istirahat) yang terletak di Jawa Timur, Indonesia. Gunung Liman secara administratif termasuk dalam wilayah dua kabupaten yaitu Kabupaten Ponorogo dan Kabupaten Nganjuk.",Aktif,Pemula,Ponorogo
154,Gunung Limas,2162,Jawa Timur,Jawa,"Gunung Limas adalah gunung yang terletak di Pasuruan, Jawa Timur. Gunung ini memiliki ketinggian 2.162 mdpl.",Tidak Aktif,Pemula,Pasuruan
155,Gunung Manjatan,1304,Jawa Timur,Jawa,"Gunung Manjatan merupakan sebuah gunung yang terletak di Madium, Jawa Timur. Gunung ini memiliki ketinggian 1.304 mdpl.",Tidak Aktif,Pemula,Madiun
